DS_SHORT_NAME,DS_URL_TYPE,DS_URL,DS_URL_COMMENTS,PERIOD_AVAIL,DP_DIR_PATH,DP_DIR_HOST,ENTERED
c4eedop,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4eedop/UF-IDL.guide.txt,,,,,
c4eehad,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4eehad/dropsonde_science_description.pd,,,,,
gpmpanoaamc3e,Data Access,ftp://gpm.nsstc.nasa.gov/gpm_validation/mc3e/disdrometers_and_gauges/parsivel_NOAA/data/,,All,/ftp/public/gpm_validation/mc3e/disdrometers_and_gauges/parsivel_NOAA/data/,GHRC-FC02,
c4elip,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4elip/LIP_DIAG.JPG,,,,,
c4emas,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4emas/AMES_Docs.tar,,,,,
gpmpanoaamc3e,Browse,ftp://gpm.nsstc.nasa.gov/gpm_validation/mc3e/disdrometers_and_gauges/parsivel_NOAA/browse/,,All,/ftp/public/gpm_validation/mc3e/disdrometers_and_gauges/parsivel_NOAA/browse/,GHRC-FC02,
c4emas,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4emas/c4emas_mas_sr0801_after_al_ph.html,,,,,
c4emas,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4emas/c4emas_readme.txt,,,,,
kscmill,Data Access,ftp://ghrc.nsstc.nasa.gov/pub/data/ksc-fieldmill/,,All,/ftp/public/pub/data/ksc-fieldmill/,GHRC-LT01,
kscmill,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/kscmill/fm_structure.doc,ICD for Electric Field Mill,,,,
namradio,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namradio/namma_praia-radiosonde_description.pdf,,,,,
namradio,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namradio/NAMMA_PRAIA-RADIOSONDE_FlightLog.txt,,,,,
namsenegal,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namsenegal/readme_flux.txt,,,,,
namsenegal,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namsenegal/Senegal_sondes_README_processed.txt,,,,,
namsenrg,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namsenrg/NAMMA_Raingauge_network.pdf,,,,,
namsenrg,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namsenrg/README_gauge,,,,,
namsmart,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namsmart/namma_smart_AERI_readme.doc,,,,,
namtoga,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namtoga/namma_toga_chkswp.txt,,,,,
namtoga,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namtoga/namma_toga_README.pdf,,,,,
namtoga,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namtoga/namma_toga_scilog_060815_60902.pdf,,,,,
namtoga,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namtoga/namma_toga_scilog_060903_060916.pdf,,,,,
c4emtp,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4emtp/mtp_er2.pdf,,,,,
c4emtp,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4emtp/MTP_ER2_Readme.rtf,,,,,
c4enlh,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4enlh/c4enlh_doc1.pdf,,,,,
c4enlh,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4enlh/c4enlh_doc2.pdf,,,,,
gpmmrrnamc3e,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/gpmgv/mc3e/gpmmrrnamc3e/gpmmrrnamc3e_dataset.html,,,,,19-Feb-13
c4eo3p,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4eo3p/noaao3.pdf,,,,,
c4gandros,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4gandros/README_status.txt,,,,,
c4gmipclo,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4gmipclo/mips.pdf,,,,,
c4gmipclo,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4gmipclo/UAHCAMEX.DOC,,,,,
c4gmipfm,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4gmipfm/MILL2BS4a.pdf,,,,,
c4gmipfm,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4gmipfm/mips.pdf,,,,,
c4gmipfm,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4gmipfm/UAHCAMEX.DOC,,,,,
c4gmipsod,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4gmipsod/mips.pdf,,,,,
c4gmipsod,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4gmipsod/UAHCAMEX.DOC,,,,,
c4gmipss1,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4gmipss1/mips.pdf,,,,,
c4gmipss1,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4gmipss1/UAHCAMEX.DOC,,,,,
c4gmipss2,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4gmipss2/mips.pdf,,,,,
c4gmipwp,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4gmipwp/mips.pdf,,,,,
c4gmipwp,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4gmipwp/UAHCAMEX.DOC,,,,,
c4gnpol,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4gnpol/NPOL_KAMP_TAPELOG.txt,,,,,
c4gtoga,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4gtoga/Toga_Radar_Science_Lo2.doc,,,,,
c4gtoga,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4gtoga/TogaTapelog2.xls,,,,,
c4gxpow,Software,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4gxpow/xpowlist,,,,,
c4gxpow,Software,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4gxpow/xpow_read_software.tar.gz,,,,,
c4p3rad,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4p3rad/NOAA_P3_Radar2.pdf,,,,,
c4p3rad,Software,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex4/c4p3rad/subr.f,,,,,
tcspaero,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/tcsp/tcspaero/Aerosonde_Data_Release_Notes_P_TCSP_July_2005.pdf,,,,,
tcspaero,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/tcsp/tcspaero/Aerosonde_TCSP_report.pdf,,,,,
tcspcrs,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/tcsp/tcspcrs/ASCII-README.txt,,,,,
gpmcmmc3e,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/gpmgv/mc3e/gpmcmmc3e/gpmcmmc3e_dataset.html,,,,,26-Feb-13
tcspcrs,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/tcsp/tcspcrs/CRS-UF.txt,,,,,
tcspcrs,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/tcsp/tcspcrs/formatspec_2_0.pdf,,,,,
tcspcrs,Software,ftp://ghrc.nsstc.nasa.gov/pub/doc/tcsp/tcspcrs/software.tar,,,,,
tcspcrs,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/tcsp/tcspcrs/UF-IDL.guide.txt,,,,,
tcspedop,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/tcsp/tcspedop/ASCII-README.txt,,,,,
tcspedop,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/tcsp/tcspedop/EDOP-UF.txt,,,,,
gpmer2navmc3e,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/gpmgv/mc3e/gpmer2navmc3e/gpmer2navmc3e_dataset.html,,,,,26-Feb-13
gpmnavcitmc3e,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/gpmgv/mc3e/gpmnavcitmc3e/gpmnavcitmc3e_dataset.html,,,,,26-Feb-13
gpmfltsummc3e,Homepage,http://gpm.nsstc.nasa.gov/mc3e/,,,,,
gpmfltsummc3e,Data Access,ftp://gpm.nsstc.nasa.gov/gpm_validation/mc3e/flight_tracks_summaries/data/,,All,/ftp/public/gpm_validation/mc3e/flight_tracks_summaries/data/,GHRC-FC02,
gpmoumesmc3e,PI Documentation,ftp://gpm.nsstc.nasa.gov/gpm_validation/mc3e/OU_mesonet/doc/README_OU_MESONET_mc3e.txt,OU MESONET parameter description,,,,28-Mar-13
gpmoumesmc3e,PI Documentation,http://www.mesonet.org/index.php/site/about/mdf_mts_files,Mesonet MDF/MTS file format,,,,28-Mar-13
gpmncamdc8gcpex,Software,ftp://gpm.nsstc.nasa.gov/gpm_validation/gcpex/dc8_camera_nadir/doc/read_nadircam.pro,nadir camera read software,,,,9-Apr-13
gpmncamdc8gcpex,PI Documentation,ftp://gpm.nsstc.nasa.gov/gpm_validation/gcpex/dc8_camera_nadir/doc/nadir_camera_documentation.doc,instrument survey,,,,9-Apr-13
dc8dads,Data Access,ftp://airbornescience.nsstc.nasa.gov/camex3/dc8dads/data/,,All,/ftp/public/camex3/dc8dads/data/,GHRC-FC02,
dc8laserh,Data Access,ftp://airbornescience.nsstc.nasa.gov/camex3/dc8laserh/data/,,All,/ftp/public/camex3/dc8laserh/data/,GHRC-FC02,
er2nasti,Data Access,ftp://airbornescience.nsstc.nasa.gov/camex3/er2nasti/data/,,All,/ftp/public/camex3/er2nasti/data/,GHRC-FC02,
dc8jplsaw,Data Access,ftp://airbornescience.nsstc.nasa.gov/camex3/dc8jplsaw/data/,,All,/ftp/public/camex3/dc8jplsaw/data/,GHRC-FC02,
er2mts,Data Access,ftp://airbornescience.nsstc.nasa.gov/camex3/er2mts/data/,,All,/ftp/public/camex3/er2mts/data/,GHRC-FC02,
dc8macaws,Data Access,ftp://airbornescience.nsstc.nasa.gov/camex3/dc8macaws/data/,,All,/ftp/public/camex3/dc8macaws/data/,GHRC-FC02,
er2nav,Data Access,ftp://airbornescience.nsstc.nasa.gov/camex3/er2nav/data/,,All,/ftp/public/camex3/er2nav/data/,GHRC-FC02,
er2lip,Data Access,ftp://airbornescience.nsstc.nasa.gov/camex3/er2lip/data/,,All,/ftp/public/camex3/er2lip/data/,GHRC-FC02,
er2mams,Data Access,ftp://airbornescience.nsstc.nasa.gov/camex3/er2mams/data/,,All,/ftp/public/camex3/er2mams/data/,GHRC-FC02,
gpmncamdc8gcpex,Homepage,http://gpm.nsstc.nasa.gov/gcpex,,,,,
gpmncamdc8gcpex,Data Access,ftp://gpm.nsstc.nasa.gov/gpm_validation/gcpex/dc8_camera_nadir/data/,,All,/ftp/public/gpm_validation/gcpex/dc8_camera_nadir/data/,GHRC-FC02,
gpmncamdc8gcpex,Browse,ftp://gpm.nsstc.nasa.gov/gpm_validation/gcpex/dc8_camera_nadir/browse/,,All,/ftp/public/gpm_validation/gcpex/dc8_camera_nadir/browse/,GHRC-FC02,
tcspedop,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/tcsp/tcspedop/formatspec_2_0.pdf,,,,,
tcspedop,Software,ftp://ghrc.nsstc.nasa.gov/pub/doc/tcsp/tcspedop/software.tar,,,,,
tcspedop,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/tcsp/tcspedop/UF-IDL.guide.txt,,,,,
tcsphamsr,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/tcsp/tcsphamsr/README_TCSP_HDF.pdf,,,,,
tcsplip,Software,ftp://ghrc.nsstc.nasa.gov/pub/doc/tcsp/tcsplip/plot_TCSP_archive_data.pro,,,,,
tcsplip,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/tcsp/tcsplip/TCSP_LIP_conductivity_data.pdf,,,,,
amprtbcx3,Software,ftp://ghrc.nsstc.nasa.gov/pub/doc/ampr/example_ampr_read_program.f,,,,,
cmx3srl,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex3/cmx3srl/aereadme.dat,,,,,
cmx3srl,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex3/cmx3srl/wvreadme.dat,,,,,
er2mts,Software,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex3/er2mts/read_camex.m,,,,,
er2nasti,Software,ftp://ghrc.nsstc.nasa.gov/pub/doc/camex3/er2nasti/idl_startup.pro,,,,,
amprtbjax,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/ampr/ampr.pdf,,,,,
amprtbkwj,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/ampr/ampr.pdf,,,,,
amprtblba,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/ampr/ampr.pdf,,,,,
amprtbta,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/ampr/ampr.pdf,,,,,
amprtbtc,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/ampr/ampr.pdf,,,,,
c4eampr,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/ampr/ampr.pdf,,,,,
tc4ampr,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/ampr/ampr.pdf,,,,,
tcspampr,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/ampr/ampr.pdf,,,,,
amprtbcp,Software,ftp://ghrc.nsstc.nasa.gov/pub/doc/ampr/example_ampr_read_program.f,,,,,
amprtbcx1,Software,ftp://ghrc.nsstc.nasa.gov/pub/doc/ampr/example_ampr_read_program.f,,,,,
amprtbcx2,Software,ftp://ghrc.nsstc.nasa.gov/pub/doc/ampr/example_ampr_read_program.f,,,,,
amprtbcp,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/ampr/ampr.pdf,,,,,
amprtbcx1,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/ampr/ampr.pdf,,,,,
amprtbcx2,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/ampr/ampr.pdf,,,,,
amprtbcx3,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/ampr/ampr.pdf,,,,,
amprtbf3a,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/ampr/ampr.pdf,,,,,
amprtbf3a,Software,ftp://ghrc.nsstc.nasa.gov/pub/doc/ampr/example_ampr_read_program.f,,,,,
amprtbjax,Software,ftp://ghrc.nsstc.nasa.gov/pub/doc/ampr/example_ampr_read_program.f,,,,,
amprtbkwj,Software,ftp://ghrc.nsstc.nasa.gov/pub/doc/ampr/example_ampr_read_program.f,,,,,
amprtblba,Software,ftp://ghrc.nsstc.nasa.gov/pub/doc/ampr/example_ampr_read_program.f,,,,,
amprtbta,Software,ftp://ghrc.nsstc.nasa.gov/pub/doc/ampr/example_ampr_read_program.f,,,,,
amprtbtc,Software,ftp://ghrc.nsstc.nasa.gov/pub/doc/ampr/example_ampr_read_program.f,,,,,
c4eampr,Software,ftp://ghrc.nsstc.nasa.gov/pub/doc/ampr/example_ampr_read_program.f,,,,,
tc4ampr,Software,ftp://ghrc.nsstc.nasa.gov/pub/doc/ampr/example_ampr_read_program.f,,,,,
tcspampr,Software,ftp://ghrc.nsstc.nasa.gov/pub/doc/ampr/example_ampr_read_program.f,,,,,
amsua15sp,Software,ftp://ghrc.nsstc.nasa.gov/pub/doc/amsu_a/amsuareader.c,,,,,
amsua16sp,Software,ftp://ghrc.nsstc.nasa.gov/pub/doc/amsu_a/amsuareader.c,,,,,
amsua17sp,Software,ftp://ghrc.nsstc.nasa.gov/pub/doc/amsu_a/amsuareader.c,,,,,
c4ehamsr,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/camex4/c4ehamsr/c4ehamsr_dataset.html,,,,,
c4dcvi,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/camex4/c4dcvi/c4dcvi_dataset.html,,,,,
trmlbalip,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/trmmlbalip/trmlbalip_dataset.html,,,,,
namtoga,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/namma/namtoga/namtoga_dataset.html,,,,,
amsua16sp,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/amsu_a/amsu-a_dataset.html,,,,,
c4eo3p,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/camex4/c4eo3p/c4eo3p_dataset.html,,,,,
aces1cont,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/aces/aces1_dataset.html,,,,,
c4dicats,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/camex4/c4dicats/c4dicats_dataset.html,,,,,
c4dd8d,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/camex4/c4dd8d/c4dd8d_dataset.html,,,,,
c4enav,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/camex4/c4enav/c4enav_dataset.html,,,,,
c4dcstar,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/camex4/c4dcstar/c4dcstar_dataset.html,,,,,
tcspmtp,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/tcsp/tcspmtp/tcspmtp_dataset.html,,,,,
tcspmas,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/tcsp/tcspmas/tcspmas_dataset.html,,,,,
tcspcrs,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/tcsp/tcspcrs/tcspcrs_dataset.html,,,,,
amprtbtc,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/ampr/ampr_dataset.html,,,,,
olsdig10,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/ols/ols_dataset.html,,,,,
globalir,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/globalir/globalir_dataset.html,,,,,
tcspedop,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/tcsp/tcspedop/tcspedop_dataset.html,,,,,
tcsplip,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/tcsp/tcsplip/tcsplip_dataset.html,,,,,
tcsphamsr,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/tcsp/tcsphamsr/tcsphamsr_dataset.html,,,,,
namukatd,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/namma/namukatd/namukatd_dataset.html,,,,,
c4emas,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/camex4/c4emas/c4emas_dataset.html,,,,,
tcspampr,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/tcsp/tcspampr/ampr_dataset.html,,,,,
c4p3vid,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/camex4/c4p2vid/c4p3vid_dataset.html,,,,,
c4emtp,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/camex4/c4emtp/c4emtp_dataset.html,,,,,
c4djlh,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/camex4/c4djlh/c4djlh_dataset.html,,,,,
c4dnevzor,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/camex4/c4dnevzor/c4dnevzor_dataset.html,,,,,
c4eedop,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/camex4/c4eedop/c4eedop_dataset.html,,,,,
c4sg8,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/camex4/c4sg8/c4sg8_dataset.html,,,,,
c4gmipwp,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/camex4/c4gmipwp/c4gmipwp_dataset.html,,,,,
aces1efm,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/aces/aces1_dataset.html,,,,,
aces1trig,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/aces/aces1_dataset.html,,,,,
amsua17sp,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/amsu_a/amsu-a_dataset.html,,,,,
namradio,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/namma/namradio/namradio_dataset.html,,,,,
namdrop,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/namma/namdrop/namdrop_dataset.html,,,,,
namhamsr,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/namma/namhamsr/namhamsr_dataset.html,,,,,
aces1time,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/aces/aces1_dataset.html,,,,,
aces1log,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/aces/aces1_dataset.html,,,,,
tcsptico,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/tcsp/tcsptico/tcsptico_dataset.html,,,,,
tcspgoes,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/tcsp/tcspgoes/tcspgoes_dataset.html,,,,,
tcspaero,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/tcsp/tcspaero/tcspaero_dataset.html,,,,,
c4p3rad,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/camex4/c4p3rad/c4p3rad_dataset.html,,,,,
c4gnpol,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/camex4/c4gnpol/c4gnpol_dataset.html,,,,,
c4gtoga,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/camex4/c4gtoga/c4gtoga_dataset.html,,,,,
cmx3misrep,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/camex3/cmx3misrep/cmx3misrep_dataset.html,,,,,
c4p3cp,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/camex4/c4p3cp/c4p3cp_dataset.html,,,,,
c4gandros,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/camex4/c4gandros/c4gandros_dataset.html,,,,,
amprtbcx3,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/ampr/ampr_dataset.html,,,,,
kscmill,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/kscmill/kscmill_dataset.html,,,,,
goodlitn,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/nldn/lightning_dataset.html,,,,,
namradio,Homepage,http://namma.nsstc.nasa.gov/,,,,,
lislip,Software,ftp://ghrc.nsstc.nasa.gov/pub/doc/lis/LISOTD_1.1.tar.gz,,,,,
otdlip,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/lis/ReleaseNotes_990204.pdf,,,,,
otdlip,Software,ftp://ghrc.nsstc.nasa.gov/pub/doc/lis/LISOTD_1.1.tar.gz,,,,,
namdrop,Homepage,http://namma.nsstc.nasa.gov/,,,,,
namhamsr,Homepage,http://namma.nsstc.nasa.gov/,,,,,
aces1time,Homepage,http://aces.nsstc.nasa.gov/,,,,,
aces1log,Homepage,http://aces.nsstc.nasa.gov/,,,,,
tcsptico,Homepage,http://tcsp.nsstc.nasa.gov/,,,,,
tcspgoes,Homepage,http://tcsp.nsstc.nasa.gov/,,,,,
tcspaero,Homepage,http://tcsp.nsstc.nasa.gov/,,,,,
c4p3rad,Homepage,http://camex.nsstc.nasa.gov/,,,,,
c4gnpol,Homepage,http://camex.nsstc.nasa.gov/,,,,,
c4gtoga,Homepage,http://camex.nsstc.nasa.gov/,,,,,
cmx3misrep,Homepage,http://camex.nsstc.nasa.gov/camex3/,,,,,
c4p3cp,Homepage,http://camex.nsstc.nasa.gov/,,,,,
c4gandros,Homepage,http://camex.nsstc.nasa.gov/,,,,,
amprtbcx3,Homepage,http://ampr.nsstc.nasa.gov/,,,,,
kscmill,Homepage,http://lightning.nsstc.nasa.gov/data,,,,,
goodlitn,Homepage,http://lightning.nsstc.nasa.gov/data,,,,,
daylightn,Homepage,http://lightning.nsstc.nasa.gov/data/,,,,,
er2nav,Homepage,http://camex.nsstc.nasa.gov/camex3/,,,,,
namdc8nav,Homepage,http://namma.nsstc.nasa.gov/,,,,,
dc8avaps,Homepage,http://camex.nsstc.nasa.gov/camex3/,,,,,
dc8psr,Homepage,http://www.etl.noaa.gov/programs/1998/camex3/,,,,,
er2lip,Homepage,http://camex.nsstc.nasa.gov/camex3/,,,,,
er2nasti,Homepage,http://camex.nsstc.nasa.gov/camex3/,,,,,
cmx3andros,Homepage,http://camex.nsstc.nasa.gov/camex3/,,,,,
namsmart,Homepage,http://namma.nsstc.nasa.gov/,,,,,
namlarge,Homepage,http://namma.nsstc.nasa.gov/,,,,,
namlargen,Homepage,http://namma.nsstc.nasa.gov/,,,/web/ftp/namma/DC8-Nav_LARGE/,,
namsenegal,Homepage,http://namma.nsstc.nasa.gov/,,,,,
c4gmipss1,Homepage,http://camex.nsstc.nasa.gov/,,,,,
daylightn,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/nldn/lightning_dataset.html,,,,,
er2nav,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/camex3/er2nav/er2nav_dataset.html,,,,,
amsua15sp,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/amsu_a/amsu-a_dataset.html,,,,,
tc4ampr,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/ampr/ampr_dataset.html,,,,,
tc4ampr,Browse,ftp://ghrc.nsstc.nasa.gov/pub/browse/ampr/tc4/,,,,,
namdc8nav,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/namma/namdc8nav/namdc8nav_dataset.html,,,,,
dc8avaps,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/camex3/dc8avaps/dc8avaps_dataset.html,,,,,
dc8psr,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/camex3/dc8psr/dc8psr_dataset.html,,,,,
er2lip,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/camex3/er2lip/er2lip_dataset.html,,,,,
er2nasti,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/camex3/er2nasti/er2nasti_dataset.html,,,,,
cmx3andros,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/camex3/cmx3andros/cmx3andros_dataset.html,,,,,
namsmart,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/namma/namsmart/namsmart_dataset.html,,,,,
namlarge,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/namma/namlarge/namlarge_dataset.html,,,,,
namlargen,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/namma/namlarge/namlarge_dataset.html,,,/web/ftp/namma/DC8-Nav_LARGE/,,
namsenegal,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/namma/namsenegal/namsenegal_dataset.html,,,,,
c4gmipss1,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/camex4/c4gmipss1/c4gmipss1_dataset.html,,,,,
c4gmipclo,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/camex4/c4gmipclo/c4gmipclo_dataset.html,,,,,
namcaps,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/namma/namcaps/namcaps_dataset.html,,,,,
vaiconus,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/vaiconus/vaiconus_dataset.html,,,,,
er2mams,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/camex3/er2mams/er2mams_dataset.html,,,,,
